RS_GCF_000613245.1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Mycobacterium;s__Mycobacterium asiaticum	Mycobacterium asiaticum
RS_GCF_000416985.1	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium paucimobilis	Sphingobacterium paucimobilis
RS_GCF_000969705.1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus	Nitriliruptor alkaliphilus
RS_GCF_000818035.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Neisseriaceae;g__Neisseria_D;s__Neisseria_D elongata	Neisseria_D elongata
RS_GCF_000243715.2	d__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira broomii	Leptospira broomii
RS_GCF_000177335.1	d__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__Pyramidobacter piscolens	Pyramidobacter piscolens
RS_GCF_000152865.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	Erythrobacter sp.
RS_GCF_000820705.1	d__Bacteria;p__Clostridaeota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AA;s__Clostridium_AA polynesiense	Clostridium_AA polynesiense
RS_GCF_000215085.1	d__Bacteria;p__Peptococcaeota;c__Peptococcia;o__Desulfotomaculales;f__Desulfotomaculaceae;g__Desulfotomaculum;s__Desulfotomaculum ruminis	Desulfotomaculum ruminis
RS_GCF_000277715.1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;s__Tessaracoccus propionicum	Tessaracoccus propionicum
